Serial,Name,Fl,Birth,Death,Inventory,ScienceField,Index,Duplicate,BirthCountry,WorkCountry,Ethnicity,Woman,No. of Inventories
10180,'Antarah ibn Shaddad,550,,,Lit.Arabic,,28.70,0,Rome,Arab World,Black,0,
16030,"'Aqqad, 'Abbas Mahmud al-",1929,1889,1964,Lit.Arabic,,,0,Arab World,Arab World,Arabic,0,
13031,'Umar ibn Abi Rabi'ah,683,643,715,Lit.Arabic,,30.86,0,Arab World,Arab World,Arabic,0,
10043,‘Adi ibn Zaid,630,,,Lit.Arabic,,20.78,0,Arab World,Arab World,Arabic,0,
16026,‘Amr ibn Kulthum,560,,,Lit.Arabic,,14.39,0,Rome,Arab World,Ancient Roman,0,
12254,Abd al- Hamid,1720,,,Lit.Arabic,,8.63,0,Arab World,Arab World,Arabic,0,
16001,Abd al- Rahman ,1690,1650,1706,Lit.Arabic,,11.37,0,Arab World,Arab World,Arabic,0,
11,"Abel, Frederic",1867,1827,1902,Science,Chem,4.06,0,Britain,Britain,English,0,
12,"Abel, John ",1897,1857,1938,Science,Biol,25.05,0,USA,USA,Germanic,0,
13,"Abel, Niels",1829,1802,1829,Science,Math,24.08,0,Norway,Norway,Norwegian,0,
10005,"Abelard, Pierre",1119,1079,1142,Lit.West,,3.65,1,France,France,French,0,2
30002,"Abelard, Pierre",1119,1079,1142,Phil.West,,3.73,1,France,France,French,0,2
10028,Abu al-'Atahiyah,788,748,826,Lit.Arabic,,34.24,0,Arab World,Arab World,Arabic,0,
10016,Abu Bakr al-Khwarismi,975,935,1002,Lit.Arabic,,18.52,0,Arab World,Arab World,Arabic,0,
10020,Abu Firas al-Hamdani,967,932,967,Lit.Arabic,,11.58,0,Arab World,Arab World,Arabic,0,
10021,Abu Hayyan at-Tawhidi,1000,,,Lit.Arabic,,14.16,0,Arab World,Arab World,Arabic,0,
10022,Abu Ishak (Bushak),1410,,,Lit.Arabic,,,0,Arab World,Arab World,Arabic,0,
10024,Abu Nuwas,800,760,815,Lit.Arabic,,79.18,0,Arab World,Arab World,Arabic,0,
10018,Abu Shafar Ahmad ibn Said,1008,,,Lit.Arabic,,,0,Arab World,Arab World,Arabic,0,
10025,Abu Tammam,847,807,850,Lit.Arabic,,54.04,0,Arab World,Arab World,Arabic,0,
41,Abül Wafa (Qafa),980,940,998,Science,Math,6.93,0,Arab World,Arab World,Arabic,0,
10029,Abutsu,1275,,,Lit.Japan,,10.71,0,Japan,Japan,Japanese,1,
40009,Adam de la Halle,1284,1244,1285,Music.West,,4.12,0,France,France,French,0,
10037,Adam of St. Victor,1140,,,Lit.West,,2.31,0,France,France,French,0,
40012,Adam von Fulda,1485,1445,1505,Music.West,,1.00,0,Germany,Germany,Germanic,0,
40007,"Adam, Adolphe",1843,1803,1856,Music.West,,2.73,0,France,France,Jewish,0,
20018,"Adam, Robert",1768,1728,1792,Art.West,,11.00,0,Britain,Britain,Scots,0,
54,"Adams, Ansel",1942,1902,1984,Science,Tech,6.23,0,USA,USA,USA,0,
10040,"Adams, Henry",1878,1838,1918,Lit.West,,1.61,0,USA,USA,USA,0,
58,"Adams, John ",1859,1819,1892,Science,Astr,16.08,0,Britain,Britain,English,0,
64,"Adams, Walter ",1916,1876,1956,Science,Astr,26.67,0,USA,USA,USA,0,
10041,"Addison, Joseph",1712,1672,1719,Lit.West,,9.84,0,Britain,Britain,English,0,
66,"Addison, Thomas",1833,1793,1860,Science,Medi,21.83,0,Britain,Britain,English,0,
68,Adelhard of Bath ,1125,,,Science,Math,9.20,0,Britain,Britain,English,0,
10045,"Ady, Endre",1917,1877,1919,Lit.West,,3.24,0,Hungary,Hungary,Hungarian,0,
30031,Aenesidemos,-50,,,Phil.West,,1.25,0,Anc Greece,Anc Greece,Ancient Greek,0,
20028,"Aertsen, Pieter",1548,1508,1575,Art.West,,2.62,0,Netherlands,Netherlands,Dutch,0,
10047,Aeschylus  ,-485,-525,-456,Lit.West,,26.42,0,Anc Greece,Anc Greece,Ancient Greek,0,
10048,Aesop ,-550,,,Lit.West,,7.19,0,Anc Greece,Anc Greece,Ancient Greek,0,
83,"Agassiz, Louis",1847,1807,1873,Science,Eart,37.09,0,Switzerland,USA,French,0,
40017,"Agazzari, Agostino",1618,1578,1640,Music.West,,1.00,0,Italy,Italy,Italian,0,
20032,Agesander,-50,,,Art.West,,,0,Anc Greece,Anc Greece,Ancient Greek,0,
87,Agricola (Georg Bauer),1534,1494,1555,Science,Eart,50.95,0,Germany,Germany,Germanic,0,
40023,"Agricola, Alexander",1486,1446,1506,Music.West,,2.02,0,Belgium,France,Flemish,0,
10061,Ai Qing (Jiang Haicheng),1949,1910,1996,Lit.China,,,0,China,China,Chinese,0,
97,"Aiken, Howard",1940,1900,1973,Science,Tech,12.51,0,USA,USA,USA,0,
99,"Airy, George",1841,1801,1892,Science,Astr,4.87,0,Britain,Britain,English,0,
10068,"Akhmatova, Anna",1929,1889,1966,Lit.West,,4.73,0,Russia,Russia,Slavic,1,
10069,Akhtal,680,640,710,Lit.Arabic,,31.95,0,Arab World,Arab World,Arabic,0,
14399,Akiko ,1918,1878,1941,Lit.Japan,,29.38,0,Japan,Japan,Japanese,1,
10072,"Aksakov, Sergey",1831,1791,1859,Lit.West,,2.91,0,Russia,Russia,Slavic,0,
13515,Akutagawa Ryunosuke,1927,1892,1927,Lit.Japan,,40.14,0,Japan,Japan,Japanese,0,
10326,al- Balami,960,,,Lit.Arabic,,,0,Arab World,Arab World,Arabic,0,
10791,al- Busiri,1252,1212,1298,Lit.Arabic,,15.93,0,Arab World,Arab World,Arabic,0,
16018,al- Hutay’ah,665,,,Lit.Arabic,,10.60,0,Arab World,Arab World,Arabic,0,
12284,al- Khansa’,620,,,Lit.Arabic,,18.05,0,Arab World,Arab World,Arabic,1,
12907,al- Muwailihi,1898,1858,1930,Lit.Arabic,,,0,Arab World,Arab World,Arabic,0,
13504,al- Rusafi,1915,1875,1945,Lit.Arabic,,,0,Arab World,Arab World,Arabic,0,
16022,al- Shanfara,550,,,Lit.Arabic,,14.57,0,Rome,Arab World,Ancient Roman,0,
14252,al- Walid ibn Yazid [II],730,,,Lit.Arabic,,15.08,0,Arab World,Arab World,Arabic,0,
10249,al-A’sha,630,,,Lit.Arabic,,12.44,0,Arab World,Arab World,Arabic,0,
16017,al-Buhturi,861,821,897,Lit.Arabic,,42.92,0,Arab World,Arab World,Arabic,0,
11476,al-Farazdaq,681,641,730,Lit.Arabic,,44.31,0,Arab World,Arab World,Arabic,0,
30675,"al-Ghazzali, Algazel",1098,1058,1111,Phil.West,,3.87,0,Arab World,Arab World,Arabic,0,
11854,"al-Hallaj, Husayn ibn Mansur",898,,,Lit.Arabic,,,0,Arab World,Arab World,Arabic,0,
11859,al-Hamadhani,1007,969,1007,Lit.Arabic,,48.91,0,Arab World,Arab World,Arabic,0,
11879,al-Hariri,1022,,,Lit.Arabic,,50.47,0,Arab World,Arab World,Arabic,0,
4424,"al-Khwarizmi, Abu Ja’far ",840,800,850,Science,Math,23.92,0,Arab World,Arab World,Arabic,0,
30927,al-Kindi,841,801,866,Phil.West,,2.93,0,Arab World,Arab World,Arabic,0,
10027,al-Ma’arri,1013,973,1057,Lit.Arabic,,73.16,0,Arab World,Arab World,Arabic,0,
12905,al-Mutanabbi,955,915,965,Lit.Arabic,,100.00,0,Arab World,Arab World,Arabic,0,
9077,al-Zarqali (Arzachel),1070,,,Science,Astr,7.21,0,Spain,Spain,Spanish,0,
10074,Alain-Fournier (Fournier),1914,1886,1914,Lit.West,,2.10,0,France,France,French,0,
10076,"Alarcón, Pedro de",1873,1833,1891,Lit.West,,5.61,0,Spain,Spain,Spanish,0,
20036,"Albani, Francesco",1618,1578,1660,Art.West,,1.43,0,Italy,Italy,Italian,0,
110,Albategnius (al-Battani),898,858,929,Science,Math,4.26,0,Arab World,Arab World,Arabic,0,
